,user_id,answer_text,expt,ans_code,ans_count,val_code,val_count,material,cond
0,2.216.190.219,He is delayed in traffic.,expt3_2,sd_neg_ans1,1.0,neg,1.0,sam_driving,neg_mat
1,2.216.190.219,He is involved in an accident.,expt3_2,pc_neg_ans1,1.0,neg,1.0,peter_college,neg_mat
2,2.216.190.219,He is offered a promotion.,expt3_2,bj_pos_ans2,1.0,pos,1.0,bob_job,pos_mat
3,2.216.190.219,"His computer crashes and he loses the work,.",expt3_2,re_neg_ans2,1.0,neg,1.0,robert_essay,neg_mat
4,2.216.190.219,She eats the ;pizza crusts.,expt3_2,other,1.0,neg,1.0,mary_food,neg_mat
5,2.216.190.219,She has gone on the wrong day.,expt3_2,bm_neg_ans3,1.0,neg,1.0,belinda_meeting,neg_mat
6,2.216.190.219,She is attacked in the street,expt3_2,sw_neg_ans3,1.0,neg,1.0,sally_wine,pos_mat
7,2.216.190.219,She is declined.,expt3_2,ll_neg_ans1,1.0,neg,1.0,lucy_loan,pos_mat
8,2.216.190.219,The lawnmower is broken.,expt3_2,sg_neg_ans4,1.0,neg,1.0,steve_garden,pos_mat
9,2.216.190.219,The money has not been paid.,expt3_2,ls_neg_ans1,1.0,neg,1.0,louise_shopping,pos_mat
10,54762f9efdf99b05557e04be,A deer runs out in front of the car and he hits it,expt3_1,sd_neg_ans3,1.0,neg,1.0,sam_driving,pos_mat
11,54762f9efdf99b05557e04be,A friend turns up unexpectedly and suggests they go out which they do.  He forgets to submit the essay,expt3_1,other,1.0,neg,1.0,robert_essay,pos_mat
12,54762f9efdf99b05557e04be,"Bob's boss praises him, gives him a pay rise and promotes him.",expt3_1,bj_pos_ans2,1.0,pos,1.0,bob_job,neg_mat
13,54762f9efdf99b05557e04be,He uncovers a box that he'd had a child that he'd forgotten all about.,expt3_1,sg_pos_ans3,1.0,pos,1.0,steve_garden,neg_mat
14,54762f9efdf99b05557e04be,Lucy get's a text saying she's jut won a car in a competition so doesn't need the loan.,expt3_1,ll_pos_ans3,1.0,pos,1.0,lucy_loan,neg_mat
15,54762f9efdf99b05557e04be,The ATM paid out in £20 notes rather than 10s so she got double the money,expt3_1,ls_pos_ans1,1.0,pos,1.0,louise_shopping,neg_mat
16,54762f9efdf99b05557e04be,"as she leaves the house she finds her cat, run over in the road",expt3_1,sw_neg_ans3,1.0,neg,1.0,sally_wine,neg_mat
17,54762f9efdf99b05557e04be,he turns the wrong way down the road without realising.,expt3_1,pc_neg_ans3,1.0,neg,1.0,peter_college,pos_mat
18,54762f9efdf99b05557e04be,she finds that all her colleagues have moved on and there a new team members,expt3_1,other,1.0,neither,1.0,belinda_meeting,pos_mat
19,54762f9efdf99b05557e04be,when she needs to go out again she finds that her is keys are not there but noone else is in,expt3_1,mf_neg_ans3,1.0,neg,1.0,mary_food,pos_mat
20,54ab0771fdf99b55c3f55227,Belinda runs into an old friend from school,expt3_2,other,1.0,pos,1.0,belinda_meeting,neg_mat
21,54ab0771fdf99b55c3f55227,Bob is fired,expt3_2,bj_neg_ans1,1.0,neg,1.0,bob_job,pos_mat
22,54ab0771fdf99b55c3f55227,Louise crashes the car,expt3_2,other,1.0,neg,1.0,lucy_loan,pos_mat
23,54ab0771fdf99b55c3f55227,Louise is mugged at the ATM,expt3_2,ls_neg_ans3,1.0,neg,1.0,louise_shopping,pos_mat
24,54ab0771fdf99b55c3f55227,Peter crashes his bike,expt3_2,pc_neg_ans1,1.0,neg,1.0,peter_college,neg_mat
25,54ab0771fdf99b55c3f55227,Sam discovers a previously lost item in the grass,expt3_2,sg_pos_ans3,1.0,pos,1.0,steve_garden,pos_mat
26,54ab0771fdf99b55c3f55227,Sam drives into the car in front,expt3_2,sd_neg_ans3,1.0,neg,1.0,sam_driving,neg_mat
27,54ab0771fdf99b55c3f55227,her flatmate was sick and had to go to the doctor,expt3_2,other,1.0,neg,1.0,mary_food,neg_mat
28,54ab0771fdf99b55c3f55227,his computer crashes and he loses his work,expt3_2,re_neg_ans2,1.0,neg,1.0,robert_essay,neg_mat
29,54ab0771fdf99b55c3f55227,she sees her husband looking cosy with another woman,expt3_2,sw_neg_ans7,1.0,neg,1.0,sally_wine,pos_mat
30,563b92e8be9cac0005aab72f,A helicopter crashed on the road and he might spend his whole evening in the traffic,expt3_2,sd_neg_ans1,1.0,neg,1.0,sam_driving,neg_mat
31,563b92e8be9cac0005aab72f,Bob was promoted ,expt3_2,bj_pos_ans2,1.0,pos,1.0,bob_job,pos_mat
32,563b92e8be9cac0005aab72f,He runs into his college crush,expt3_2,pc_pos_ans2,1.0,pos,1.0,peter_college,neg_mat
33,563b92e8be9cac0005aab72f,Her credit card disappears in the ATM machine,expt3_2,ls_neg_ans2,1.0,neg,1.0,louise_shopping,pos_mat
34,563b92e8be9cac0005aab72f,His laptop stops working.,expt3_2,re_neg_ans2,1.0,neg,1.0,robert_essay,neg_mat
35,563b92e8be9cac0005aab72f,It turned out that his lawnmower has been replaced by a new model,expt3_2,sg_pos_ans3,1.0,pos,1.0,steve_garden,pos_mat
36,563b92e8be9cac0005aab72f,It turns out she's not eligible for a loan,expt3_2,ll_neg_ans1,1.0,neg,1.0,lucy_loan,pos_mat
37,563b92e8be9cac0005aab72f,She finds one of her flat-mates dead on the floor,expt3_2,other,1.0,neg,1.0,mary_food,neg_mat
38,563b92e8be9cac0005aab72f,She gets in a car accident,expt3_2,bm_neg_ans1,1.0,neg,1.0,belinda_meeting,neg_mat
39,563b92e8be9cac0005aab72f,The corner shop is closed,expt3_2,sw_neg_ans5,1.0,neg,1.0,sally_wine,pos_mat
40,5640b5b4074be600055e9b57,bike incident ,expt3_1,pc_neg_ans1,1.0,neg,1.0,peter_college,pos_mat
41,5640b5b4074be600055e9b57,he was offered a promotion,expt3_1,bj_pos_ans2,1.0,pos,1.0,bob_job,neg_mat
42,5640b5b4074be600055e9b57,her husband asks her not to go ,expt3_1,sw_neg_ans7,1.0,neg,1.0,sally_wine,neg_mat
43,5640b5b4074be600055e9b57,her withdrawal was rejected,expt3_1,ls_neg_ans2,1.0,neg,1.0,louise_shopping,neg_mat
44,5640b5b4074be600055e9b57,the computer deletes the essay ,expt3_1,re_neg_ans2,1.0,neg,1.0,robert_essay,pos_mat
45,5640b5b4074be600055e9b57,the keys fall on the floor ,expt3_1,mf_neg_ans3,1.0,neg,1.0,mary_food,pos_mat
46,5640b5b4074be600055e9b57,the lawnmower is not working,expt3_1,sg_neg_ans4,1.0,neg,1.0,steve_garden,neg_mat
47,5640b5b4074be600055e9b57,the meeting has been rescheduled ,expt3_1,bm_neg_ans3,1.0,neg,1.0,belinda_meeting,pos_mat
48,5640b5b4074be600055e9b57,the radio informs him of a traffic incident,expt3_1,sd_neg_ans1,1.0,neg,1.0,sam_driving,pos_mat
49,5640b5b4074be600055e9b57,they reject the loan ,expt3_1,ll_neg_ans1,1.0,neg,1.0,lucy_loan,neg_mat
50,56e68157f6ed90000ba5855c,He wakes up from a nightmare.,expt3_2,re_neg_ans4,1.0,neg,1.0,robert_essay,neg_mat
51,56e68157f6ed90000ba5855c,Her colleagues are really friendly.,expt3_2,bm_pos_ans3,1.0,pos,1.0,belinda_meeting,neg_mat
52,56e68157f6ed90000ba5855c,Her mate got her a pizza too.,expt3_2,mf_pos_ans1,1.0,pos,1.0,mary_food,neg_mat
53,56e68157f6ed90000ba5855c,His boss promotes him.,expt3_2,bj_pos_ans2,1.0,pos,1.0,bob_job,pos_mat
54,56e68157f6ed90000ba5855c,His police officer friend notices him and gives him an escort home. ,expt3_2,sd_pos_ans4,1.0,pos,1.0,sam_driving,neg_mat
55,56e68157f6ed90000ba5855c,She bumps into her husband who has just bought a bottle of wine.,expt3_2,sw_pos_ans5,1.0,pos,1.0,sally_wine,pos_mat
56,56e68157f6ed90000ba5855c,She got more money out of the ATM than she asked for.,expt3_2,ls_pos_ans1,1.0,pos,1.0,louise_shopping,pos_mat
57,56e68157f6ed90000ba5855c,The lawnmower is missing.,expt3_2,other,1.0,neg,1.0,steve_garden,pos_mat
58,56e68157f6ed90000ba5855c,There is a stand in Professor.,expt3_2,pc_pos_ans6,1.0,neither,1.0,peter_college,neg_mat
59,56e68157f6ed90000ba5855c,They turn her down for the loan.,expt3_2,ll_neg_ans1,1.0,neg,1.0,lucy_loan,pos_mat
60,56f99190895094000b922acf,Bank refuses her a loan and tells her to make do with the car she has.,expt3_1,ll_neg_ans1,1.0,neg,1.0,lucy_loan,neg_mat
61,56f99190895094000b922acf,Bob tells his boss about being unhappy and is offered promotion.,expt3_1,bj_pos_ans2,1.0,pos,1.0,bob_job,neg_mat
62,56f99190895094000b922acf,Five minutes after checking the traffic report an accident occurs . Stuck in traffic he misses the first half of the game.,expt3_1,sd_neg_ans1,1.0,neg,1.0,sam_driving,pos_mat
63,56f99190895094000b922acf,Half way to College he has a puncture . It takes him 20 minutes to fix making him late for the lecture.,expt3_1,pc_neg_ans2,1.0,neg,1.0,peter_college,pos_mat
64,56f99190895094000b922acf,He finds that he has ran out of petrol for his lawnmower.,expt3_1,sg_neg_ans4,1.0,neg,1.0,steve_garden,neg_mat
65,56f99190895094000b922acf,He forgets to save the essay on his computer and it is lost.,expt3_1,re_neg_ans2,1.0,neg,1.0,robert_essay,pos_mat
66,56f99190895094000b922acf,She desides not to buy any clothes that day as she does not have enough money.,expt3_1,ls_neg_ans1,1.0,neg,1.0,louise_shopping,neg_mat
67,56f99190895094000b922acf,She eats the pizza and cleans up the mess throwing the keys out with the carton the pizza was in,expt3_1,mf_neg_ans3,1.0,neg,1.0,mary_food,pos_mat
68,56f99190895094000b922acf,She is walking to the shop and finds a £20 note on the street . She buys the wine.,expt3_1,sw_pos_ans3,1.0,pos,1.0,sally_wine,neg_mat
69,56f99190895094000b922acf,When she arrives she does not know any of the colleagues at the meeting. They are from different departments and not very welcoming.,expt3_1,bm_neg_ans8,1.0,neg,1.0,belinda_meeting,pos_mat
70,571073cced0d66001290077d,a spider bites him ,expt3_1,sg_neg_ans7,1.0,neg,1.0,steve_garden,neg_mat
71,571073cced0d66001290077d,he gets a bonus,expt3_1,bj_pos_ans2,1.0,pos,1.0,bob_job,neg_mat
72,571073cced0d66001290077d,his computer crashes and loses al his work,expt3_1,re_neg_ans2,1.0,neg,1.0,robert_essay,pos_mat
73,571073cced0d66001290077d,his lecture was cancelled,expt3_1,pc_pos_ans4,1.0,pos,1.0,peter_college,pos_mat
74,571073cced0d66001290077d,it starts raining,expt3_1,sd_neg_ans6,1.0,neg,1.0,sam_driving,pos_mat
75,571073cced0d66001290077d,no idea,expt3_1,,,,,,
76,571073cced0d66001290077d,she crashes,expt3_1,bm_neg_ans1,1.0,neg,1.0,belinda_meeting,pos_mat
77,571073cced0d66001290077d,she gets nothing,expt3_1,other,1.0,neg,1.0,lucy_loan,neg_mat
78,571073cced0d66001290077d,she is robbed,expt3_1,ls_neg_ans3,1.0,neg,1.0,louise_shopping,neg_mat
79,571073cced0d66001290077d,there is no wine left,expt3_1,sw_neg_ans1,1.0,neg,1.0,sally_wine,neg_mat
80,572e0682bb6cca000e53dfa2,"A sudden realisation whilst proofreading his answer that he might not have read the question correctly - he checks, and he hadn't.",expt3_1,re_neg_ans3,1.0,neg,1.0,robert_essay,pos_mat
81,572e0682bb6cca000e53dfa2,An old lady suddenly step into the road whilst he's distracted by the radio dial and he runs her over.,expt3_1,sd_neg_ans3,1.0,neg,1.0,sam_driving,pos_mat
